bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1700712000,43957,34957,8707,67,226,34946,81.41479706924514,8707,66.0341910914587
1700712900,43982,35025,8766,19,172,35022,80.28899276641916,8766,65.79869018556553
1700713800,43956,35058,8718,19,161,35045,80.85874055960987,8718,65.98430206660555
1700714700,43979,35222,8577,19,161,35220,80.95328555981769,8577,65.7377803816409
1700715600,43968,35160,8588,19,201,35147,82.48400427022462,8587,65.39207658864157
1700716500,43827,34603,8921,62,241,34600,80.27453462067419,8921,65.50908131511264
1700717400,43846,34996,8677,20,153,34985,80.52815672603971,8677,66.22293273404773
1700718300,46872,37937,8765,19,151,37934,77.07717472611094,8765,66.4269010363186
1700719200,43930,35630,8125,21,154,35619,80.94207891589029,8125,66.57646741538439
1700720100,44060,35748,8146,20,146,35746,80.04718405538891,8146,66.90682063384897
1700721000,44024,35684,8163,19,158,35672,80.26727162130106,8163,67.34773164482012
1700721900,43984,35733,8079,19,153,35730,80.21435320521695,8079,69.38234953583353
1700722800,44052,35797,8073,21,161,35785,80.46550695728693,8073,67.74275124901962
1700723700,43958,36150,7639,20,149,36147,79.71280247850855,7639,67.39101160710389
1700724600,43949,36485,7295,17,152,36474,80.51547117363233,7295,72.36148238519556
1700725500,46969,41054,5744,19,152,41050,75.58443132112258,5744,77.26887029944277
1700726400,44040,39096,4775,18,151,39085,77.81184546558221,4775,86.30757959860387
1700727300,43939,38917,4843,22,157,38914,77.05836276371822,4843,82.72967272351828
1700728200,43973,34983,8092,92,806,34972,76.5993558816796,8092,94.03567140179626
1700729100,43978,24579,18728,57,614,24577,78.35837253258445,18727,92.49762920804939
1700730000,44005,23624,19984,30,367,23612,75.74539436233013,19981,92.4998329339176
1700730900,43899,21599,21945,28,327,21596,76.05531353657453,21945,83.57977080005422
1700731800,43932,23393,20248,43,248,23381,87.43454115699372,20246,73.16485080596499
1700732700,46983,27774,19015,17,177,27771,82.01447497858534,19015,66.76191700998893
1700733600,43996,24564,19234,16,182,24553,89.31734950982191,19234,75.22645068639292
1700734500,43932,24640,19104,15,173,24637,93.7427059447361,19104,66.58067280152846
1700735400,43933,24650,19101,15,167,24638,87.91216381571614,19101,65.43320303774847
1700736300,44084,24676,19216,17,175,24673,88.68187786553618,19216,66.93996524344583
1700737200,43932,24779,18971,17,165,24768,88.82009126937047,18971,65.75187776071478
1700738100,43924,24764,18971,16,173,24761,87.79073053393623,18971,65.36671351553036
1700739000,43878,24821,18862,15,180,24809,90.28328794155566,18861,66.1331212129589
1700739900,46981,28184,18595,15,187,28181,82.07277182876216,18595,65.67123357292037
1700740800,42772,25030,17556,12,174,25019,86.96828089458688,17556,69.6996436384661
1700741700,44032,25346,18499,9,178,25329,88.71896954581827,18494,67.65316947013193
1700742600,43977,25292,18490,14,181,25281,87.59339820738612,18490,68.31962577987187
1700743500,44031,25308,18541,7,175,25305,87.35316401319947,18541,68.08226420815096
1700744400,44078,25368,18528,8,174,25357,87.92532011940288,18528,68.10547938984102
1700745300,43964,25309,18473,8,174,25307,87.27994154336216,18473,67.44516369783071
1700746200,43949,25558,18209,8,174,25546,90.97009143847374,18209,68.09440360307136
1700747100,46996,28881,17928,8,179,28879,82.7647706216298,17928,69.00707873877661
1700748000,44014,26231,17604,7,172,26219,86.74894826711191,17604,69.7776719260138
1700748900,44110,26148,17775,7,180,26145,85.3937419037468,17775,66.90530594636331
1700749800,44005,26195,17625,7,178,26182,86.89277409876614,17620,68.98057938078543
1700750700,43997,26241,17567,7,182,26236,86.7782926376229,17567,68.81748903876544
1700751600,44036,26583,17281,10,162,26571,87.43098638016467,17280,69.91022308817749
1700752500,43951,26662,17108,9,172,26660,86.26357658644014,17108,67.23408221192186
1700753400,43981,26725,17077,8,171,26713,87.78227413192393,17076,68.07337197402772
1700754300,46985,29696,17107,14,168,29694,82.57272210814504,17107,68.43068302078453
1700755200,43985,27099,16704,15,167,27086,88.35421515586435,16703,70.10198138265743
1700756100,44032,27161,16690,16,165,27158,86.73620852548807,16690,67.56959439537279
1700757000,43980,27325,16482,14,159,27312,87.7905266871801,16482,66.7086043311362
1700757900,44027,27310,16537,16,164,27306,87.8873277147588,16535,67.00712162370215
1700758800,44065,27347,16546,14,158,27335,89.10405253259478,16546,68.17424620913937
1700759700,43907,27303,16419,13,172,27301,87.3266207373937,16419,66.29824291153648
1700760600,43978,27359,16448,13,158,27347,87.49727316378812,16447,66.20583238603112
1700761500,46996,30107,16710,14,165,30104,82.51246846186258,16710,65.5644298060852
1700762400,42013,26317,15529,15,152,26304,85.89234402351157,15528,65.65391315037265
1700763300,43862,27587,16107,13,155,27585,86.56735441818493,16107,65.9590789328455
1700764200,43894,27609,16117,14,154,27597,87.5539177804627,16116,67.2746472266054
1700765100,43959,27987,15803,14,155,27984,85.47257714022774,15802,67.2484145456515
1700766000,43928,29033,14726,16,153,29021,84.36838749854603,14725,68.9700307425984
1700766900,43857,29480,14138,53,186,29478,86.03379714503323,14138,68.15222508795613
1700767800,43889,29597,14119,14,159,29585,83.08138823787102,14119,67.44142502286792
1700768700,46869,32353,14311,15,190,32350,78.50251020881538,14311,67.15207880451634
1700769600,43977,29691,14112,13,161,29680,83.58563057590126,14112,69.5451081121001
1700770500,43864,29690,14007,13,154,29687,83.71078832555406,14007,67.85829211961614
1700771400,43890,29719,14005,13,153,29708,85.6379652254436,14005,68.8674755645031
1700772300,43893,29716,14008,12,157,29713,83.14957352679495,14008,67.18443470902638
1700773200,43910,29705,14025,18,162,29694,83.70441640192162,14025,67.30694082806689
1700774100,43888,29691,14026,13,158,29687,82.67506957414574,14025,66.76043847030869
1700775000,43824,29676,13944,12,192,29664,83.69587175233515,13944,67.48087274971793
1700775900,46870,32499,14200,14,157,32496,79.04984150614119,14200,66.90534143790413
1700776800,44034,29818,14042,12,162,29807,84.16978132503581,14042,68.73774521023776
1700777700,43978,29794,14015,11,158,29791,83.44907397053683,14015,67.06519978237591
1700778600,43913,29746,13996,13,158,29734,86.76679335904507,13995,68.32378729173747
1700779500,44018,29851,13996,13,158,29848,83.50825648399784,13996,72.4969964880487
1700780400,43953,29786,13998,15,154,29775,83.62258302394342,13998,67.07964337079925
1700781300,43879,29717,13947,44,171,29714,82.59954670663635,13947,66.28630040540389
1700782200,43861,29716,13975,14,156,29705,82.74305438756343,13975,66.99828302081504
1700783100,46859,32499,14192,12,156,32496,81.19102799017219,14192,67.03593386827946
1700784000,92,76,16,0,0,76,66.76061842105261,16,88.64343749999999
