asn,count,cc
272267,1,BR
272268,1,BR
272269,1,BR
272270,1,BR
272271,1,BR
272272,1,BR
272274,1,BR
272277,1,BR
272278,1,BR
272280,1,BR
272281,1,BR
272282,1,BR
272283,1,BR
272284,2,BR;US
272413,1,BR
272414,1,BR
272415,1,BR
272416,1,BR
272417,1,BR
272418,1,BR
272419,1,BR
272421,1,BR
272422,1,BR
272423,1,BR
272426,1,BR
272428,1,BR
272430,1,BR
272431,1,BR
272432,1,BR
272433,1,BR
272435,1,BR
272436,1,BR
272437,1,BR
272438,1,BR
272439,1,BR
272440,1,BR
272441,1,BR
272442,1,BR
272445,1,BR
272446,1,BR
272447,1,BR
272449,1,BR
272450,1,BR
272451,1,BR
272453,1,BR
272454,2,BR;US
272455,1,BR
272457,2,BR;US
272458,1,BR
272459,1,BR
272460,1,BR
272461,1,BR
272462,2,BR;US
272463,1,BR
272465,1,BR
272466,1,BR
272467,1,BR
272468,1,BR
272470,2,AE;BR
272471,1,BR
272472,1,BR
272473,1,BR
272474,1,BR
272475,1,BR
272476,1,BR
272477,1,BR
272478,1,BR
272479,1,BR
272480,1,BR
272481,2,BR;DE
272483,1,BR
272484,1,BR
272485,1,BR
272486,1,BR
272487,1,BR
272488,1,BR
272490,1,BR
272493,1,BR
272494,1,BR
272496,1,BR
272497,1,BR
272499,1,BR
272500,1,BR
272501,1,BR
272502,1,BR
272503,1,BR
272504,1,BR
272505,1,BR
272506,1,BR
272507,1,BR
272508,1,BR
272509,1,BR
272511,1,BR
272513,1,BR
272514,1,BR
272516,1,BR
272518,1,BR
272519,1,BR
272520,1,BR
272522,1,BR
272524,2,AE;BR
272526,1,BR
272527,1,BR
272528,1,BR
272529,1,BR
272530,1,BR
272532,1,BR
272533,2,BR;IT
272534,1,BR
272535,1,BR
272537,1,BR
272538,1,BR
272539,1,BR
272540,1,BR
272541,1,BR
272542,1,BR
272543,1,BR
272547,1,BR
272548,1,BR
272549,1,BR
272550,1,BR
272551,1,BR
